State_Code,County,County_Seat,Latitude,Longitude
AK, Anchorage,Anchorage,61.17425,-149.284329
AK, Fairbanks North Star,Fairbanks,64.836531,-147.651745
AK, Haines,Haines,59.249681,-135.468816
AK, Juneau,Juneau,58.37291,-134.178445
AK, Gateway,Ketchikan,55.357145,-131.674552
AK, Bristol Bay,King Salmon,58.735227,-156.528544
AK, Kodiak Island,Kodiak,57.791192,-152.419712
AK, Kodiak Island,Kodiak Station,57.76795,-152.595907
AK, Northwest Arctic,Kotzebue,66.877089,-162.503478
AK, Bristol Bay,Naknek,58.78516,-156.885872
AK, Matanuska-Susitna,Palmer,61.597168,-149.114679
AK, Sitka,Sitka,57.193204,-135.367396
AK, Kenai Peninsula,Soldotna,60.485318,-151.069014
AK, Bristol Bay,South Naknek,58.675534,-156.994126
AL, Henry,Abbeville,31.564724,-85.259123
AL, Covington,Andalusia,31.309436,-86.478031
AL, Calhoun,Anniston,33.673469,-85.810891
AL, Clay,Ashland,33.269892,-85.833706
AL, St. Clair,Ashville,33.835197,-86.270015
AL, Limestone,Athens,34.779021,-86.950799
AL, Baldwin,Bay Minette,30.894436,-87.791306
AL, Jefferson,Birmingham,33.527174,-86.797036
AL, Escambia,Brewton,31.109175,-87.076583
AL, Choctaw,Butler,32.096479,-88.210781
AL, Wilcox,Camden,31.998493,-87.28895
AL, Pickens,Carrollton,33.261903,-88.095071
AL, Cherokee,Centre,34.153059,-85.671683
AL, Bibb,Centreville,32.958967,-87.132043
AL, Washington,Chatom,31.469145,-88.246019
AL, Chilton,Clanton,32.845572,-86.619494
AL, Barbour,Clayton,31.882277,-85.460454
AL, Shelby,Columbiana,33.191452,-86.615618
AL, Cullman,Cullman,34.17687,-86.840656
AL, Tallapoosa,Dadeville,32.826114,-85.776201
AL, Morgan,Decatur,34.572995,-86.989901
AL, Houston,Dothan,31.233698,-85.406823
AL, Winston,Double Springs,34.149648,-87.389447
AL, Coffee,Elba,31.417218,-86.077115
AL, Greene,Eutaw,32.846247,-87.900332
AL, Conecuh,Evergreen,31.433216,-86.976081
AL, Fayette,Fayette,33.694215,-87.831169
AL, Lauderdale,Florence,34.830323,-87.666139
AL, DeKalb,Fort Payne,34.457329,-85.689447
AL, Etowah,Gadsden,34.006597,-86.016078
AL, Geneva,Geneva,31.044886,-85.876818
AL, Hale,Greensboro,32.700968,-87.5937
AL, Butler,Greenville,31.843072,-86.636951
AL, Clarke,Grove Hill,31.69867,-87.772868
AL, Marshall,Guntersville,34.367947,-86.252323
AL, Marion,Hamilton,34.138713,-87.970833
AL, Lowndes,Hayneville,32.182595,-86.578588
AL, Cleburne,Heflin,33.6474,-85.569339
AL, Madison,Huntsville,34.782275,-86.532599
AL, Walker,Jasper,33.856035,-87.270268
AL, Marengo,Linden,32.30136,-87.792583
AL, Sumter,Livingston,32.595549,-88.186929
AL, Crenshaw,Luverne,31.718941,-86.269082
AL, Perry,Marion,32.631968,-87.317333
AL, Mobile,Mobile,30.668426,-88.100226
AL, Monroe,Monroeville,31.516223,-87.327714
AL, Montgomery,Montgomery,32.348503,-86.267307
AL, Lawrence,Moulton,34.488302,-87.282707
AL, Blount,Oneonta,33.947038,-86.489793
AL, Lee,Opelika,32.660739,-85.37889
AL, Dale,Ozark,31.451615,-85.645035
AL, Russell,Phenix City,32.461669,-85.025021
AL, Autauga,Prattville,32.449042,-86.449401
AL, Coosa,Rockford,32.896866,-86.208346
AL, Franklin,Russellville,34.505719,-87.728123
AL, Jackson,Scottsboro,34.64462,-86.048155
AL, Dallas,Selma,32.416983,-87.035702
AL, Talladega,Talladega,33.431757,-86.099454
AL, Pike,Troy,31.80196,-85.96713
AL, Tuscaloosa,Tuscaloosa,33.234404,-87.5283
AL, Colbert,Tuscumbia,34.718502,-87.702586
AL, Macon,Tuskegee,32.418723,-85.682509
AL, Bullock,Union Springs,32.139506,-85.714623
AL, Lamar,Vernon,33.758816,-88.114291
AL, Randolph,Wedowee,33.308004,-85.4865
AL, Elmore,Wetumpka,32.540376,-86.206999
AR, Clark,Arkadelphia,34.12738,-93.070851
AR, Desha,Arkansas City,33.608876,-91.204896
AR, Little River,Ashdown,33.674529,-94.126627
AR, Sharp,Ash Flat,36.23646,-91.606676
AR, Woodruff,Augusta,35.28655,-91.36086
AR, Independence,Batesville,35.768572,-91.622652
AR, Saline,Benton,34.577424,-92.572583
AR, Benton,Bentonville,36.355088,-94.242061
AR, Carroll,Berryville,36.371028,-93.570387
AR, Mississippi,Blytheville,35.934066,-89.905133
AR, Logan,Booneville,35.139329,-93.9175
AR, Ouachita,Camden,33.567672,-92.849064
AR, Franklin,Charleston,35.294515,-94.04835
AR, Monroe,Clarendon,34.692974,-91.306292
AR, Johnson,Clarksville,35.453918,-93.481558
AR, Van Buren,Clinton,35.578981,-92.455735
AR, Faulkner,Conway,35.07435,-92.467078
AR, Clay,Corning,36.413682,-90.583609
AR, Yell,Danville,35.052457,-93.391199
AR, Yell,Dardanelle,35.226305,-93.165909
AR, Sevier,De Queen,34.042245,-94.342133
AR, Prairie,Des Arc,34.978433,-91.506835
AR, Prairie,De Valls Bluff,34.785865,-91.461071
AR, Union,El Dorado,33.218982,-92.664071
AR, Carroll,Eureka Springs,36.410774,-93.744904
AR, Washington,Fayetteville,36.071455,-94.166564
AR, Dallas,Fordyce,33.818125,-92.417388
AR, St. Francis,Forrest City,35.013599,-90.793207
AR, Sebastian,Fort Smith,35.349276,-94.370883
AR, Sebastian,Greenwood,35.211348,-94.239444
AR, Ashley,Hamburg,33.224755,-91.797247
AR, Calhoun,Hampton,33.534763,-92.466607
AR, Poinsett,Harrisburg,35.563772,-90.721615
AR, Boone,Harrison,36.242592,-93.11765
AR, Cleburne,Heber Springs,35.499554,-92.029339
AR, Phillips,Helena,34.531325,-90.620057
AR, Hempstead,Hope,33.668164,-93.588885
AR, Garland,Hot Springs,34.489442,-93.050254
AR, Madison,Huntsville,36.098656,-93.733244
