Region,STCO_FIPS,PD
1,4003,4.066017014
2,4009,2.737172062
3,4012,1.779002792
4,4015,2.776173516
5,4023,4.166888476
6,5005,0.75531501
7,5023,0.046419417
8,5025,-0.984058793
9,5027,0.552976622
10,5037,-0.003513103
11,5043,-0.588006423
12,5051,1.074859999
13,5059,-0.149210513
14,5067,-0.996618099
15,5081,-0.315308162
16,5087,0.426565088
17,5097,-0.067984922
18,5109,-0.44929863
19,5111,0.794595361
20,5123,-0.894771963
21,5129,0.100399046
22,5135,-0.698965774
23,5139,-0.303318577
24,8053,0.020081462
25,8061,0.641659999
26,8073,0.674490641
27,8079,-0.316915561
28,8085,1.700600005
29,8095,-0.498103999
30,8101,2.126989086
31,8105,0.666857083
32,8115,-0.322682861
33,8121,0.159081808
34,9013,0.927404522
35,9015,0.824287939
36,12005,0.442736345
37,12013,-0.414078011
38,12019,0.559979947
39,12033,1.059946713
40,12041,-0.125224931
41,12049,-0.589808968
42,12055,0.215819181
43,12067,-0.457860811
44,12077,-0.204016628
45,12081,0.643521564
46,12083,0.650599451
47,12087,0.768398647
48,12099,0.964368493
49,12107,0.095107099
50,12123,-0.20256946
51,12133,0.133786533
52,13009,-0.062613737
53,13019,-0.328342561
54,13035,0.743005098
55,13043,-0.668558449
56,13047,0.256769957
57,13055,0.149294136
58,13071,-0.616877744
59,13075,-0.153884368
60,13081,-0.51892412
61,13093,0.409784127
62,13101,-1.476723477
63,13109,-1.061009446
64,13119,-0.069706098
65,5141,-0.493451426
66,5143,1.237676577
67,5147,-1.212330295
68,6011,1.705671461
69,6021,1.444989804
70,6031,0.586206497
71,6043,1.831301604
72,6049,1.665962623
73,6067,1.844099694
74,6071,3.605512019
75,6083,2.445084435
76,6089,2.194519911
77,6107,2.450863245
78,8001,1.274296997
79,8003,0.4811013
80,8011,0.738358796
81,8013,2.237085044
82,8014,0.724109554
83,8025,0.374043365
84,8039,0.471713304
85,8047,0.158073351
86,1001,0.391531354
87,1003,1.333052396
88,1007,0.504184658
89,1011,0.285083648
90,1021,-0.014394165
91,1031,-0.484463104
92,1037,-0.145707612
93,1045,-0.092326608
94,1055,0.228473155
95,1059,-0.544595251
96,1075,-0.468152541
97,1087,0.427526798
98,1093,-0.811529824
99,1103,0.644397526
100,1111,-0.303062247
101,1119,0.308510351
102,1131,-0.388290875
103,17069,0.472308411
104,17079,0.059604693
105,17081,0.6521977
106,17087,1.070071631
107,17093,1.065412109
108,17099,0.843409091
109,17103,0.626080711
110,17109,0.377131551
111,17115,0.501094165
112,17121,0.407517154
113,17129,0.990077547
114,17135,0.386196021
115,17141,0.609942034
116,17147,1.000087865
117,17155,0.641980535
118,17159,-0.60317153
119,17165,1.002815932
120,17171,0.159890129
121,17175,-0.317354574
122,17187,-0.287791048
123,17189,0.107423349
124,17197,1.339763753
125,18001,-0.080729584
126,18007,0.33734151
127,18011,0.818357582
128,18017,-0.461674168
129,18023,0.113682165
130,18031,0.227469558
131,18035,0.453736688
132,18041,0.584521534
133,18047,0.212189077
134,18049,-0.338355475
135,18053,0.360501031
136,18055,1.103601766
137,18065,0.24424095
138,18069,0.127146172
139,18075,-0.058303413
140,18081,0.964157905
141,18085,0.912492281
142,18093,0.589107118
143,18095,0.692273873
144,18101,0.43719157
145,18107,0.6357902
146,18113,0.47641973
147,18117,0.935454016
148,18127,1.26887743
149,18131,-0.370064363
150,18133,0.890376669
151,18139,-0.505839357
152,18145,-0.134097213
153,18157,1.191126764
154,18159,-0.409502264
155,18167,0.92944791
156,18177,0.544960149
157,18179,-0.014210001
158,19001,-0.813272197
159,19007,-0.200656314
160,19013,0.646714425
161,19017,0.280688027
162,19021,-0.372380734
163,19027,-0.254833819
164,19031,-0.23918981
165,19035,-0.651811774
166,19039,-1.224857613
167,13125,-0.762219996
168,13127,0.811387621
169,13131,-0.437752972
170,13143,-0.686108598
171,13149,-0.319450563
172,13155,-0.839196992
173,13163,-0.093198943
174,13171,0.306901541
175,13177,0.201674205
176,13189,-0.132711892
177,13199,0.005353861
178,13217,0.42087888
179,13223,0.298990494
180,13227,0.1595292
181,13233,-0.259291119
182,13243,-0.768573627
183,13249,0.167753917
184,13261,0.110371742
185,13273,-1.320429197
186,13277,-0.046919819
187,13285,0.012736068
188,13295,0.264461077
189,13307,-1.259193612
190,13311,0.073305357
191,13315,-1.24079048
192,16009,0.486977195
193,16019,0.807447865
194,16025,-0.294738768
195,16041,-0.765665644
196,16045,0.419050234
197,16049,0.798632683
198,16057,1.223480294
199,16059,0.636597857
200,16067,-0.057072708
201,16081,0.161246763
202,17005,0.487601154
203,17007,0.63927467
204,17009,0.628825542
205,17019,1.220653649
206,17025,-1.233862039
207,17029,0.960892137
208,17035,-0.210902329
209,17037,0.951075228
210,17041,0.315910292
211,17049,0.13140865
212,17053,0.232669679
213,17065,-0.329858621
214,20209,0.89981097
215,21001,-0.091481092
216,21005,0.125051587
217,21021,-0.109495611
218,21029,0.602879373
219,21035,0.760786834
220,21045,-0.15549142
221,21053,-0.95131002
222,21061,0.571810486
223,21073,0.69112848
224,21081,-0.532108755
225,21083,0.10194406
226,21097,-0.302537506
227,21103,-0.409800539
228,21113,0.574680223
229,21129,-0.716252854
230,21137,0.403900843
231,21141,0.709467137
232,21149,-0.548913036
233,21157,0.911951445
234,21165,-0.158969094
235,21169,-0.123892205
236,21179,0.454660201
237,21189,-0.78049641
238,21195,-0.747299875
239,21201,-0.412678091
240,21215,0.056130401
241,21227,0.977402692
242,21237,-0.299860416
243,22003,0.109138459
244,22013,-0.374535407
245,22027,0.727246626
246,22037,0.100849654
247,22047,0.675496445
248,22059,0.478160307
249,22073,0.847288023
250,22075,0.362053909
251,22087,0.116377294
252,22089,-0.093805562
253,22105,0.488325985
254,22111,0.493137527
255,19041,-0.284532975
256,19043,-0.058083989
257,19047,-0.416354855
258,19055,-0.534360053
259,19063,-0.277246286
260,19065,-0.200051684
261,19069,-0.371222793
262,19075,-0.448057448
263,19079,-0.112983846
264,19087,-0.353998106
265,19091,-0.514261854
266,19095,-0.135163018
267,19101,0.314605421
268,19105,-0.226132952
269,19113,0.715084863
270,19117,0.00989199
271,19121,0.431853102
272,19123,-0.210868908
273,19131,-1.274952478
274,19135,-0.855590521
275,19141,-0.692177262
276,19147,-0.379932531
277,19151,-0.39260988
278,19157,-0.114375455
279,19159,-0.383406971
280,19165,-0.628421486
281,19169,0.980021195
282,19175,-0.034387038
283,19179,-0.469301694
284,19183,0.252338326
285,19195,-0.828906193
286,19197,-0.58323691
287,20001,0.74432599
288,20013,0.414922594
289,20017,0.330491292
290,20025,-0.038852681
291,20027,-0.025604978
292,20029,-0.713057077
293,20031,0.35627208
294,20033,0.023567596
295,20041,-0.410583652
296,20047,-0.48162044
297,20049,-0.133625829
298,20055,0.047402065
299,20063,-0.754141833
300,20067,-0.762356799
301,20073,-0.37380403
302,20077,-0.085781364
303,20083,-0.197435479
304,20093,-0.740317803
305,20095,0.258292912
306,20101,-1.074804218
307,20105,-0.728037493
308,20109,-0.675815033
309,20117,-0.087441391
310,20131,-0.013199079
311,20139,0.929189597
312,20151,0.712458631
313,20155,0.890345252
314,20163,-0.693161558
315,20165,-0.370127369
316,20169,0.491687822
317,20177,1.431115557
318,20185,0.572368024
319,20189,-0.642040366
320,20193,-0.764872798
321,20199,-1.124617197
322,20205,-0.118257028
323,26057,0.575338046
324,26059,0.946152827
325,26061,0.112521782
326,26065,0.977621613
327,26067,0.701525474
328,26069,0.485274708
329,26073,0.624346762
330,26077,0.934466264
331,26083,0.113480374
332,26085,-0.028205295
333,26093,0.951722703
334,26097,-0.079779996
335,26103,0.421435811
336,26107,0.156902244
337,26109,-0.117378737
338,26111,0.648961548
339,26117,0.311491011
340,26123,0.260742195
341,26129,0.137556969
342,26133,0.034199779
343,26135,0.249065801
344,26137,0.037306744
345,26143,0.094128493
346,26151,0.338634404
347,26155,0.453272994
348,26161,1.254625184
349,27009,0.342904008
350,27017,-0.003009571
351,27027,0.60882281
352,27029,-0.176684623
353,27031,0.081267539
354,27039,0.002478884
355,27041,0.269422411
356,27051,0.315950905
357,27057,0.070440475
358,27059,0.109755099
359,27065,-0.274080083
360,27073,0.238106662
361,27079,0.183674468
362,27081,-0.155836021
363,27083,0.831598483
364,27085,0.078214825
365,27091,-0.033837969
366,27111,0.503043653
367,27119,0.278897522
368,27121,0.195501104
369,27125,-0.624606907
370,27131,0.717330373
371,27137,0.794239648
372,27143,0.090024069
373,27147,0.407509244
374,27153,0.309036894
375,27159,-0.547676581
376,27165,0.324448623
377,27167,-0.116945574
378,28003,-0.703971059
379,28007,-0.547706088
380,28013,-0.598553127
381,28023,-0.640488571
382,28031,-0.037681115
383,28035,0.538232795
384,28037,-0.992762007
385,28043,-0.60697839
386,28057,-0.176860822
387,28061,-0.837706629
388,28065,-0.43589024
389,28067,0.083434032
390,28073,0.093252042
391,22119,0.101741703
392,22121,0.103537625
393,22127,-0.760671632
394,23003,0.186679868
395,23005,1.101700645
396,23009,0.646063297
397,23023,0.490388633
398,23029,0.388433206
399,24001,1.015386794
400,24003,1.356619766
401,24017,0.805964331
402,24019,1.181265569
403,24027,1.360609947
404,24029,0.9936103
405,24035,1.315153098
406,24037,1.219703252
407,24041,1.215844702
408,24043,1.000052138
409,25003,0.908726764
410,25019,0.834110989
411,26005,1.067375162
412,26009,0.174655771
413,26015,0.740896798
414,26019,0.382166512
415,26025,0.748743069
416,26035,-0.21802406
417,26037,0.676795511
418,26039,0.175692306
419,26045,0.610680081
420,26049,0.788023306
421,30045,-0.503082999
422,30051,-0.73204477
423,30065,-0.238864686
424,30075,-0.957361538
425,30091,-0.318795131
426,30101,-0.281248527
427,31001,-0.860133406
428,31005,-1.06071485
429,31009,-1.229980203
430,31017,-0.388580176
431,31029,-0.643170986
432,31035,-0.557124372
433,31037,-0.488247884
434,31039,-0.374008947
435,31047,-0.866168799
436,31057,-0.467480283
437,31063,-0.816079389
438,31069,-0.292959058
439,31073,-0.933992501
440,31085,-1.219269775
441,31091,-0.830972752
442,31093,-0.553263813
443,31097,-0.44143136
444,31109,1.148357531
445,31111,0.107286122
446,31115,-0.198839672
447,31117,-1.054046117
448,31121,-0.391582244
449,31123,-0.89896818
450,31129,-1.136741846
451,31135,-0.926616367
452,31139,-0.088513565
453,31149,-0.263053219
454,31151,-0.415222961
455,31157,0.250832277
456,31163,-0.858518555
457,31167,-0.089373009
458,31171,-0.738506617
459,31179,0.248437606
460,31183,-0.883416203
461,31185,-0.335099577
462,32003,3.128594194
463,32015,0.143177845
464,32027,-0.230309727
465,32510,1.318815365
466,33007,0.500073283
467,33009,0.708651551
468,33013,0.761221065
469,34003,1.042217373
470,34017,0.89136828
471,34029,1.37086393
472,34035,1.242386134
473,35001,2.994250161
474,28075,0.002634933
475,28077,-0.614841211
476,28079,-0.995713583
477,28081,0.388487395
478,28085,-0.802964045
479,28091,-0.523541841
480,28097,-0.245024106
481,28101,-0.794690166
482,28107,0.543525645
483,28115,-0.511821878
484,28117,-0.807154417
485,28123,-0.435786274
486,28129,-0.479867901
487,28139,-1.40414318
488,28145,-1.148974591
489,28153,-0.866645995
490,28159,-0.130908024
491,29001,0.571016032
492,29007,-1.224143836
493,29015,0.542557333
494,29025,-0.101296338
495,29027,1.159971727
496,29035,0.327041843
497,29043,1.093514914
498,29049,0.589253204
499,29053,0.265802648
500,29057,0.902588446
501,29063,-0.276866171
502,29067,-0.815933144
503,29075,-0.699594032
504,29079,-0.365203086
505,29085,-0.589993158
506,29093,0.466420029
507,29095,1.365525415
508,29101,1.336188334
509,29103,0.0813375
510,29109,0.530464464
511,29115,0.424916283
512,29119,0.37974108
513,29125,-0.522540172
514,29135,-0.5010136
515,29139,-0.094587277
516,29149,0.660333835
517,29159,0.222862468
518,29161,1.041011715
519,29167,0.897442787
520,29175,-0.233083586
521,29185,0.803275083
522,29187,0.81568912
523,29197,-1.362561681
524,29203,0.737265136
525,29211,-0.665889031
526,29215,0.558942464
527,29221,0.430763748
528,29229,-0.753311135
529,30001,0.736741285
530,30011,-0.660415315
531,30025,-1.007102648
532,30035,0.25963159
533,37179,1.071405227
534,37181,0.201113006
535,37191,0.550310347
536,38003,0.095598348
537,38007,-0.13103736
538,38013,-0.556171588
539,38017,0.470340792
540,38019,-0.760632251
541,38027,-0.687668514
542,38031,-0.376342611
543,38039,-0.382827082
544,38041,-0.376595638
545,38045,-0.224743636
546,38057,-0.061322181
547,38063,-1.007433614
548,38069,-0.730743648
549,38075,-0.811932987
550,38083,-0.499187241
551,38089,0.171106929
552,38095,-0.651877531
553,38097,-0.603440655
554,38103,-0.547104144
555,39003,0.71047213
556,39011,0.418209104
557,39019,0.363820525
558,39023,0.975382711
559,39031,0.787953572
560,39033,0.107428837
561,39041,1.175838335
562,39047,0.061745442
563,39053,-0.241448294
564,39055,1.147362758
